Tectonic regime,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability
COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,15250.0,PALEOGENE,SANDSTONE,8000.0,575.0,5.0,0.1
COMPRESSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,RIFT/SALT,16360.0,JURASSIC,SANDSTONE,980.0,490.0,16.0,10.0
COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4700.0,PERMIAN,DOLOMITE,65.0,21.0,8.0,0.5
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,DEVELOPING,FORELAND/RIFT/SALT,8105.345849143011,CRETACEOUS,SANDSTONE,116.03725431133049,41.59577586358536,14.984042241364147,29.92021120682073
COMPRESSION/EROSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,7600.0,CRETACEOUS,SANDSTONE,158.0,15.0,9.5,10.0
COMPRESSION,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,4199.0,NEOGENE,SANDSTONE,3281.0,81.0,19.0,102.0
EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,3686.0,NEOGENE,SANDSTONE,790.0,88.0,33.0,1500.0
COMPRESSION/EXTENSION/INVERSION,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,1030.0,CRETACEOUS,SANDSTONE,260.0,33.0,24.0,182.0
EVAPORITE/EXTENSION/GRAVITY,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE,1788.0,CRETACEOUS,CONGLOMERATE,380.0,350.0,15.0,60.0
EXTENSION,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE/RIFT,7306.0,CRETACEOUS,SANDSTONE,115.0,98.0,18.0,500.0
COMPRESSION/EROSION/EXTENSION/INVERSION/SHALE,OFFSHORE,OIL,PLATEAU PRODUCTION,BACKARC/RIFT,5691.396326052421,JURASSIC,SANDSTONE,239.58776269685364,206.04122373031464,28.0,1456.3208213334813
COMPRESSION/EVAPORITE,ONSHORE,OIL,CONTINUING DEVELOPMENT,FORELAND,10703.0,CRETACEOUS,CHALKY LIMESTONE,820.0,928.0,9.0,0.2
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2950.0,PERMIAN,DOLOMITE,400.0,100.0,9.0,5.0
COMPRESSION/EROSION,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,14500.0,CARBONIFEROUS,CONGLOMERATE,46.0,23.0,13.0,0.4
EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,2116.0,CRETACEOUS,CONGLOMERATE,1476.0,180.0,15.0,30.0
COMPRESSION/EROSION,ONSHORE,GAS,DEVELOPING,FORELAND,9800.0,ORDOVICIAN,DOLOMITE,150.0,47.0,5.6,3.0
BASEMENT-I/EVAPORITE/EXTENSION/GRAVITY/INVERSION/STRIKE-SLIP/SYNSEDIMENTATION/TRANSPRESSION,OFFSHORE,OIL,PLATEAU PRODUCTION,BACKARC/INVERSION/PASSIVE,3058.6020007961865,CRETACEOUS,SANDSTONE,441.35405512998176,147.0603787441938,23.792497323119562,500.17291889740034
EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5900.0,DEVONIAN,DOLOMITE,730.0,130.0,5.0,0.3
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT/SALT,9422.508690582454,CRETACEOUS-PALEOGENE,CHALK,807.2215784753737,526.1078923768687,24.971868161455557,0.9249710313918184
EXTENSION/INVERSION,ONSHORE,OIL,UNKNOWN,RIFT,5193.0,CRETACEOUS-PALEOGENE,LIMESTONE,860.0,210.0,20.0,20.0
COMPRESSION,ONSHORE,GAS,UNKNOWN,INTRACRATONIC,984.0,CRETACEOUS,SILTSTONE,250.0,20.0,14.0,1.0
BASEMENT-I/EXTENSION/INVERSION/STRIKE-SLIP/TRANSPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,BACKARC/INVERSION,2650.0,NEOGENE,LIMESTONE,164.0,54.0,17.0,2000.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/LINKED,ONSHORE,OIL,SECOND PLATEAU PRODUTION,FORELAND/SALT,5297.0,JURASSIC,LIMESTONE,84.0,15.0,18.0,30.0
COMPRESSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,DEVELOPING,PASSIVE,3900.0,NEOGENE,SANDSTONE,820.0,125.0,27.0,2000.0
EVAPORITE/EXTENSION/GRAVITY,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE,3500.0,CRETACEOUS,SANDSTONE,51.0,37.0,25.0,2098.0
COMPRESSION,ONSHORE,GAS,DEVELOPING,THRUST,13780.0,CARBONIFEROUS,DOLOMITE,98.0,79.0,6.0,0.77
COMPRESSION/EROSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,GAS,DECLINING PRODUCTION,INVERSION/RIFT/SUB-SALT,6966.736940743365,PERMIAN,SANDSTONE,856.593724798431,695.1317638938103,14.707607819075864,2.585529398230173
EXTENSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,7087.0,CRETACEOUS,SANDSTONE,476.0,95.0,21.5,55.0
COMPRESSION/EROSION/EXTENSION/INVERSION,OFFSHORE,OIL,UNKNOWN,RIFT,9627.919822584223,JURASSIC,SANDSTONE,282.2328401736767,98.3102204717612,13.307772993779613,76.94884069286111
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE/RIFT/SUB-SALT,10405.973562148847,CARBONIFEROUS-CRETACEOUS,SANDSTONE,2670.9074675209645,970.0228663972747,13.880528757023061,352.9365839625262
COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,11040.0,CRETACEOUS,SANDSTONE,620.0,115.0,8.5,2.45
EVAPORITE/EXTENSION/GRAVITY,ONSHORE,OIL,MATURE PRODUCTION,PASSIVE,8700.0,CRETACEOUS,LIMESTONE,95.0,15.0,12.0,20.0
COMPRESSION,ONSHORE,GAS-CONDENSATE,CONTINUING DEVELOPMENT,THRUST,9905.0,JURASSIC-CRETACEOUS,SANDSTONE,490.0,240.0,10.0,100.0
COMPRESSION/EVAPORITE,ONSHORE,GAS,UNDEVELOPED,INTRACRATONIC,4000.0,PROTEROZOIC,SANDSTONE,200.0,49.0,16.0,5.0
DIAPIR/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,MATURE PRODUCTION,DELTA/PASSIVE/SALT,9910.0,NEOGENE,SANDSTONE,600.0,107.0,31.0,500.0
BASEMENT-I/COMPRESSION/EXTENSION/INVERSION/SHALE/STRIKE-SLIP/TRANSPRESSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT/THRUST/WRENCH,2109.6012207670738,PALEOGENE,SANDSTONE,1733.396873041676,179.90720500058922,24.267556222583462,302.05909192875856
COMPRESSION/EXTENSION/GRAVITY/SHALE/SYNSEDIMENTATION,OFFSHORE,CARBON DIOXIDE,UNDEVELOPED,BACKARC/DELTA/FORELAND,7757.001330928755,NEOGENE,LIMESTONE,5337.196626440937,2754.8729382790407,16.025092339103786,126.35951729124021
COMPRESSION/EVAPORITE/GRAVITY,OFFSHORE,OIL,PLATEAU PRODUCTION,FORELAND/SALT,7085.0,CRETACEOUS,LIMESTONE,537.0,110.0,23.0,15.0
COMPRESSION,ONSHORE,OIL,SECOND PLATEAU PRODUTION,FORELAND,5800.0,PERMIAN,DOLOMITE,1300.0,400.0,4.0,0.4
EXTENSION,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,RIFT,10282.0,CRETACEOUS,SANDSTONE,745.0,144.0,10.0,8.0
COMPRESSION/EROSION,ONSHORE,OIL,REJUVENATING,FORELAND,1104.0,NEOGENE,THINLY-BEDDED SANDSTONE,1400.0,100.0,30.0,1000.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,PASSIVE/RIFT/SUB-SALT,10693.029983930077,PALEOZOIC,SANDSTONE,1317.4250401748063,741.4617303143449,15.017425040174807,110.45502410488382
COMPRESSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,DEVELOPING,PASSIVE/RIFT,3916.46139659725,NEOGENE,SANDSTONE,871.4418643664063,170.68037555736882,29.798437421532505,2217.7019699986317
EROSION/EXTENSION,OFFSHORE,OIL,ABANDONED,RIFT,10525.0,JURASSIC,SANDSTONE,410.0,180.0,18.0,100.0
COMPRESSION/SHALE,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/SUB-THRUST/THRUST,13000.0,PALEOGENE,SANDSTONE,400.0,200.0,9.0,100.0
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4300.0,CRETACEOUS,SANDSTONE,45.0,23.0,28.5,2250.0
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,6700.0,PERMIAN,DOLOMITE,2000.0,150.0,10.0,3.0
EXTENSION/LINKED/SHALE/TRANSTENSION,OFFSHORE,GAS,DEVELOPING,RIFT/WRENCH,3717.0,NEOGENE,SANDSTONE,660.0,308.0,25.0,88.3
COMPRESSION/EROSION/EXTENSION/INVERSION,OFFSHORE,GAS,DEVELOPING,RIFT,9672.863688916206,CRETACEOUS,CHALKY LIMESTONE,253.63219796241444,63.39515075931113,12.193462258275886,39.842293200587044
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,GAS,DEVELOPING,INVERSION/PASSIVE/RIFT/SALT,5780.016627973734,CRETACEOUS-PALEOGENE,SANDSTONE,384.48955290814416,117.7436156660881,28.93348810506453,996.6744052532265
EXTENSION/INVERSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,5430.0,PALEOGENE,LIMESTONE,300.0,120.0,22.0,1500.0
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3250.0,PERMIAN,DOLOMITE,400.0,118.0,11.0,3.0
BASEMENT-I/EVAPORITE/EXTENSION/GRAVITY/INVERSION/STRIKE-SLIP/SYNSEDIMENTATION/TRANSPRESSION,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC/INVERSION/PASSIVE,2925.1202616349674,PALEOGENE,SANDSTONE,260.97332653373974,85.73093102147152,19.463359836809754,503.7805334693252
COMPRESSION/EVAPORITE,ONSHORE,GAS,REJUVENATING,INTRACRATONIC,6560.0,CRETACEOUS,SANDSTONE,450.0,89.0,23.0,214.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/LINKED/SHALE/SYNSEDIMENTATION,OFFSHORE,OIL,DEVELOPING,DELTA/FORELAND/THRUST,6835.782309179064,NEOGENE,SANDSTONE,9016.846327529105,479.15553204750677,18.439955021816402,96.30167912572637
COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND/THRUST,2300.0,CARBONIFEROUS,SANDSTONE,300.0,120.0,21.0,650.0
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2460.0,CRETACEOUS,SANDSTONE,11.0,12.0,23.0,210.0
COMPRESSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,11245.0,PERMIAN,SILTSTONE,84.0,26.0,10.0,0.5
EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,RIFT/SUB-SALT,10642.679745624007,PALEOZOIC,SANDSTONE,1140.6127120254655,661.9856739258951,14.44528786087749,185.0558613321182
COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2950.0,CRETACEOUS,SANDSTONE,72.5,36.5,27.0,1000.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT/SUB-SALT,6997.7890486503475,PERMIAN,SANDSTONE,906.1908415943052,753.3544662194017,16.43272492501931,3.555907770323363
EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,ONSHORE,OIL,UNKNOWN,PASSIVE/SALT,12229.0,JURASSIC,LIMESTONE,250.0,38.0,11.0,61.0
COMPRESSION/EXTENSION/LINKED,ONSHORE,OIL,ABANDONED,FORELAND/THRUST,4000.0,CARBONIFEROUS,SANDSTONE,250.0,110.0,17.0,150.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE/RIFT/SUB-SALT,10429.537667759894,CARBONIFEROUS-CRETACEOUS,SANDSTONE,2753.3818371596267,1127.9023739912857,13.409246644802131,275.76413808634913
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE/RIFT,7298.441480383367,CRETACEOUS,SANDSTONE,137.11566850792588,108.07802615551051,18.559890341972807,479.00411217601976
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4150.0,PERMIAN,DOLOMITE,225.0,200.0,17.5,62.0
BASEMENT-I/EVAPORITE/EXTENSION/GRAVITY/INVERSION/STRIKE-SLIP/SYNSEDIMENTATION/TRANSPRESSION,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC/INVERSION/PASSIVE,2922.648609348671,PALEOGENE,SANDSTONE,257.63325587658244,84.59530699803804,19.38319814103798,503.8473348824684
COMPRESSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT/SALT,10744.0,JURASSIC,SANDSTONE,410.0,377.0,16.5,300.0
EXTENSION/GRAVITY/SHALE/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/FORELAND,1180.0,NEOGENE,SANDSTONE,6739.0,500.0,23.0,250.0
COMPRESSION/EROSION/EXTENSION/INVERSION,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,7677.0,CRETACEOUS,SANDSTONE,138.0,125.0,20.0,1200.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,DEPLETED,FORELAND/RIFT/SALT,7040.772023587068,PERMIAN,DOLOMITE,33.56939699506853,33.41420582136989,13.372458816876716,52.286120600986294
DIAPIR/EROSION/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE/RIFT/SALT,8508.250072540499,JURASSIC,SANDSTONE,417.4407401237371,268.7326467995695,22.956653269173344,800.0
COMPRESSION/EVAPORITE/EXTENSION/LINKED,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/SALT,7850.0,CRETACEOUS,LIMESTONE,274.0,250.0,30.0,20.0
COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,4000.0,CRETACEOUS,SANDSTONE,50.0,19.3,13.9,24.0
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/PASSIVE,5700.0,DEVONIAN,SANDSTONE,80.0,13.0,13.0,230.0
EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,ONSHORE,GAS,DECLINING PRODUCTION,PASSIVE/SALT,11900.0,JURASSIC,CHALKY LIMESTONE,350.0,72.0,10.0,0.09
BASEMENT-I/COMPRESSION/EXTENSION/INVERSION/STRIKE-SLIP/TRANSPRESSION,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,BACKARC/INVERSION/WRENCH,3265.8422757105545,NEOGENE,SANDSTONE,2937.8165216641573,169.16845514211093,21.016630897157782,103.45627658657244
COMPRESSION/EROSION,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,6880.0,JURASSIC,SANDSTONE,112.0,63.0,14.5,64.2
EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE/RIFT/SALT,9951.698777673515,JURASSIC,SANDSTONE,389.03030015279694,233.67255194233428,17.29986418594613,132.49660464865332
EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,5384.0,PALEOGENE,SANDSTONE,230.0,69.0,26.7,1872.0
BASEMENT-I/EXTENSION/GRAVITY/SHALE/STRIKE-SLIP/SYNSEDIMENTATION/TRANSPRESSION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/INVERSION/WRENCH,6639.1769400871535,NEOGENE,SANDSTONE,363.51933012621186,171.3531989812673,20.40520011319252,173.51933012621186
EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,ONSHORE,OIL,NEARLY DEPLETED,PASSIVE/SUB-SALT,15295.0,JURASSIC,DOLOMITE,350.0,100.0,14.0,35.0
DIAPIR/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,NEARLY DEPLETED,DELTA/PASSIVE/RIFT/SALT,8017.0592927910075,JURASSIC,SANDSTONE,468.27724388699886,276.9177396006495,24.0,1065.5448777399777
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,2600.0,PALEOGENE-NEOGENE,SANDSTONE,5800.0,188.0,23.0,180.0
COMPRESSION/EROSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,13250.0,CRETACEOUS,SANDSTONE,250.0,23.0,14.0,60.0
EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,RIFT,4829.0,ARCHEAN,BASEMENT,656.0,190.0,1.8,7.8
EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,ONSHORE,OIL,NEARLY DEPLETED,PASSIVE/SALT,4059.0,CRETACEOUS,SANDSTONE,275.0,44.0,25.0,2460.0
BASEMENT-I/EXTENSION/GRAVITY/SHALE/STRIKE-SLIP/SYNSEDIMENTATION/TRANSPRESSION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/INVERSION/WRENCH,6643.220767739476,NEOGENE,SANDSTONE,361.59907677175715,170.74323615102873,20.47297376099681,171.59907677175715
COMPRESSION/EXTENSION/LINKED,ONSHORE,OIL,MATURE PRODUCTION,FORELAND/THRUST,4350.0,CARBONIFEROUS,DOLOMITE,780.0,205.0,12.0,7.0
COMPRESSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SUB-THRUST,13300.0,CARBONIFEROUS,DOLOMITE,750.0,261.0,7.0,1.0
EVAPORITE/EXTENSION/GRAVITY,ONSHORE,GAS-CONDENSATE,NEARLY DEPLETED,DELTA/PASSIVE/SALT,6270.0,PALEOGENE,SANDSTONE,1350.0,335.0,28.0,275.0
EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE/SUB-SALT,13265.0,NEOGENE,LOW-RESISTIVITY SANDSTONE,1500.0,295.0,29.0,1500.0
COMPRESSION/EVAPORITE,ONSHORE,OIL,DEVELOPING,FORELAND/SUB-SALT,9580.0,CARBONIFEROUS,LIMESTONE,607.0,108.0,10.0,20.0
DIAPIR/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,NEARLY DEPLETED,DELTA/PASSIVE/RIFT/SALT,7998.062566477555,JURASSIC,SANDSTONE,470.99106193177784,318.52961628726,24.0,1119.8212386355565
EROSION/EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,DEVELOPING,RIFT/SUB-SALT,5590.0,CRETACEOUS,SANDSTONE,47.0,36.0,30.0,1550.0
COMPRESSION/EROSION/EXTENSION/INVERSION,OFFSHORE,OIL,UNKNOWN,RIFT,9961.986326006267,JURASSIC,SANDSTONE,144.5373786755908,118.24293819595542,16.50683699686698,127.20830359726531
COMPRESSION/EXTENSION/GRAVITY/LINKED/SHALE,OFFSHORE,OIL,DEVELOPING,DELTA/PASSIVE,4400.0,NEOGENE,SANDSTONE,190.0,100.0,27.0,2000.0
COMPRESSION/EXTENSION/GRAVITY/INVERSION/SHALE/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,BACKARC/DELTA/FORELAND/INVERSION,801.9552341730637,NEOGENE,SANDSTONE,5676.639418929813,445.2109035033426,24.09578192993315,386.9727412416436
EXTENSION,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,8981.0,JURASSIC,SANDSTONE,210.0,113.0,10.0,20.0
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4250.0,PERMIAN,DOLOMITE,237.0,150.0,10.0,10.0
COMPRESSION/EXTENSION/INVERSION,ONSHORE,OIL,PLATEAU PRODUCTION,INTRACRATONIC,5392.0,JURASSIC,SANDSTONE,600.0,50.0,18.0,1000.0
COMPRESSION/EROSION,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,7700.0,DEVONIAN,DOLOMITE,100.0,67.6,6.1,5.2
COMPRESSION,ONSHORE,OIL,CONTINUING DEVELOPMENT,INTRACRATONIC,7677.0,CRETACEOUS,SANDSTONE,1300.0,140.0,19.0,3.6
EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,MATURE PRODUCTION,PASSIVE/RIFT/SALT,9957.811047125873,CRETACEOUS,LIMESTONE,404.19778360865064,204.24310643097633,17.979005236208238,149.47513090520596
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,GAS,DECLINING PRODUCTION,INVERSION/SUB-SALT,6900.0,PERMIAN,SANDSTONE,750.0,570.0,11.0,0.5
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,GAS,NEARLY DEPLETED,INVERSION/SUB-SALT,7400.0,PERMIAN,SANDSTONE,200.0,197.0,15.0,30.0
COMPRESSION/EROSION,ONSHORE,OIL,REJUVENATING,SUB-THRUST,6970.0,TRIASSIC,CONGLOMERATE,525.0,100.0,12.2,71.2
STRIKE-SLIP/TRANSPRESSION,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,500.0,DEVONIAN,SHALE,100.0,80.0,4.0,10.0
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,FOREARC/INVERSION/RIFT,8901.384246639904,JURASSIC,SANDSTONE,324.86849987277503,183.10939474993512,10.396098275423363,61.59031891945304
COMPRESSION/EXTENSION/INVERSION,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,2734.0,CRETACEOUS,THINLY-BEDDED SANDSTONE,600.0,100.0,26.0,1500.0
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,7252.0,JURASSIC,SANDSTONE,273.0,170.0,22.0,350.0
COMPRESSION/EXTENSION/INVERSION,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,2873.0,PALEOGENE,SANDSTONE,148.0,33.0,30.0,5000.0
TRANSPRESSION/UPLIFT,ONSHORE,GAS,UNDEVELOPED,PASSIVE,8200.0,TRIASSIC,SANDSTONE,1640.0,123.0,17.0,28.0
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,9530.0,DEVONIAN,LIMESTONE,257.0,56.0,7.4,24.0
EROSION/EXTENSION,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,7044.0,PERMIAN,SANDSTONE,980.0,840.0,19.0,5.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION/LINKED/SHALE,OFFSHORE,OIL,DEVELOPING,DELTA/PASSIVE,4243.3908340270245,NEOGENE,SANDSTONE,387.3275491259491,107.83045829864878,27.0,2000.0
COMPRESSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/SALT,4440.0,CRETACEOUS,CHALK,350.0,300.0,28.0,5.0
