Tectonic regime,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability
BASEMENT-I/COMPRESSION/EXTENSION/INVERSION/STRIKE-SLIP/TRANSPRESSION,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,BACKARC/INVERSION/WRENCH,3080.7739048619787,NEOGENE,SANDSTONE,3285.7450588594793,132.1547809723958,21.756904380552083,146.02200188174484
EXTENSION,OFFSHORE,GAS,PLATEAU PRODUCTION,RIFT,11270.0,PALEOGENE,SANDSTONE,686.0,308.0,12.68,281.0
COMPRESSION/EVAPORITE/EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,5430.0,CARBONIFEROUS,DOLOMITE,60.0,50.0,11.0,2.8
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION/LINKED/SHALE,OFFSHORE,OIL,DEVELOPING,DELTA/PASSIVE,4267.634917858275,NEOGENE,SANDSTONE,356.78000349857325,106.61825410708624,27.0,2000.0
COMPRESSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,DEVELOPING,PASSIVE/RIFT,3918.519099144969,NEOGENE,SANDSTONE,877.8721848280276,176.39050012728845,30.148246854644697,2244.9150861922126
EROSION/EVAPORITE/EXTENSION,OFFSHORE,OIL,MATURE PRODUCTION,RIFT/SUB-SALT,7051.307554029862,PERMIAN,SANDSTONE,1030.8351584686081,785.9876441271037,18.8411401297856,67.74964873468821
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/LINKED,ONSHORE,GAS,UNKNOWN,FORELAND/SALT,8943.0,PERMIAN,DOLOMITE,2100.0,445.0,11.0,25.0
COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,3275.0,TRIASSIC,SANDSTONE,43.0,15.5,14.0,13.5
EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,NEARLY DEPLETED,RIFT/SALT,11787.0,JURASSIC,THINLY-BEDDED SANDSTONE,650.0,390.0,20.0,350.0
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2650.0,PERMIAN,SANDSTONE,47.0,25.0,21.0,18.0
COMPRESSION/EROSION/EXTENSION/INVERSION,ONSHORE,OIL,UNKNOWN,FORELAND,3020.0,CARBONIFEROUS,SANDSTONE,90.0,47.0,16.8,50.0
COMPRESSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/SALT,6580.0,CRETACEOUS,LIMESTONE,650.0,200.0,21.5,100.0
EXTENSION,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,8988.0,JURASSIC,SANDSTONE,425.0,300.0,22.0,750.0
EVAPORITE/EXTENSION/GRAVITY,ONSHORE,OIL,NEARLY DEPLETED,RIFT,2421.0,PALEOGENE,SANDSTONE,5900.0,28.0,18.3,386.0
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC/INVERSION/RIFT,2315.3958975477844,NEOGENE,LOW-RESISTIVITY SANDSTONE,1237.8739239244683,231.70379422284933,25.325512806526923,270.99705068065776
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,1915.0,CARBONIFEROUS,LIMESTONE,330.0,20.0,10.0,35.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,GAS,DECLINING PRODUCTION,INVERSION/RIFT/SUB-SALT,6954.891566698844,PERMIAN,SANDSTONE,837.6740301439879,672.9216875603336,14.049531483269142,2.215361459338893
EROSION/EXTENSION,OFFSHORE,OIL,UNKNOWN,RIFT,9600.0,JURASSIC,SANDSTONE,300.0,120.0,14.0,100.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC/SUB-SALT,7290.0,CARBONIFEROUS,DOLOMITE,430.0,225.0,5.5,22.0
COMPRESSION,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,8350.0,CARBONIFEROUS,LIMESTONE,120.0,20.0,6.0,1.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,ABANDONED,INVERSION/RIFT/SALT,10573.456528055249,JURASSIC,SANDSTONE,410.0,223.5887489812052,17.668105972224325,144.25253703675656
COMPRESSION/EVAPORITE,ONSHORE,OIL,CONTINUING DEVELOPMENT,FORELAND,10211.0,CRETACEOUS,CHALKY LIMESTONE,328.0,213.0,13.0,0.8
BASEMENT-I/COMPRESSION/STRIKE-SLIP/TRANSPRESSION,ONSHORE,OIL,REJUVENATING,THRUST/WRENCH,758.0,CRETACEOUS,SANDSTONE,135.0,59.0,28.0,240.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,PLATEAU PRODUCTION,INVERSION/RIFT/SALT,7638.9377102697945,CRETACEOUS,CHALK,490.430182519671,402.64757625662537,32.43520101975303,35.85534653926003
EVAPORITE/EXTENSION/GRAVITY,ONSHORE,GAS,PLATEAU PRODUCTION,PASSIVE,8200.0,JURASSIC,SANDSTONE,1500.0,150.0,7.0,0.04
BASEMENT-I/EVAPORITE/SHALE/STRIKE-SLIP/TRANSTENSION,ONSHORE,GAS,DECLINING PRODUCTION,DELTA/WRENCH,10499.0,NEOGENE,SANDSTONE,509.0,410.0,20.0,300.0
COMPRESSION/EROSION/EXTENSION/INVERSION,OFFSHORE,OIL,UNKNOWN,RIFT,9609.5399291613,JURASSIC,SANDSTONE,293.92913598826436,112.58881536229678,13.7634728307116,92.12364526269626
BASEMENT-I/EXTENSION/INVERSION/STRIKE-SLIP/TRANSPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,BACKARC/INVERSION,4150.0,NEOGENE,SANDSTONE,350.0,200.0,17.0,393.0
COMPRESSION/EROSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,3050.0,CRETACEOUS,SANDSTONE,165.0,35.0,25.0,2000.0
COMPRESSION/EVAPORITE/GRAVITY,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,5866.0,DEVONIAN,LIMESTONE,756.0,400.0,11.8,37.0
COMPRESSION/EVAPORITE,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5800.0,CARBONIFEROUS,SANDSTONE,66.0,33.0,20.0,460.0
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4250.0,PERMIAN,DOLOMITE,370.0,150.0,12.0,17.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT/SALT,10738.077099936125,JURASSIC,SANDSTONE,423.66136245888987,381.01804778202643,16.4107100492883,300.89289950711697
COMPRESSION,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,7610.0,JURASSIC,SANDSTONE,300.0,200.0,17.0,20.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION/SYNSEDIMENTATION,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,PASSIVE/RIFT/SALT,14318.181922514384,JURASSIC,SANDSTONE,328.4064640005819,127.5401130890814,20.941175120402093,381.03733176837534
DIAPIR/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,MATURE PRODUCTION,DELTA/PASSIVE/SALT,9954.667721982207,CRETACEOUS,LIMESTONE,464.4295455627733,148.5331450010001,21.596269056377338,245.31562027688625
BASEMENT-I/EVAPORITE/EXTENSION/GRAVITY/SHALE/STRIKE-SLIP/TRANSTENSION,OFFSHORE,OIL,NEARLY DEPLETED,DELTA/RIFT/SALT/WRENCH,11958.207057669128,JURASSIC,THINLY-BEDDED SANDSTONE,558.5759990556231,316.4633035882186,21.277664609471106,361.35701875085425
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,PLATEAU PRODUCTION,INVERSION/PASSIVE/RIFT/SALT,5666.277470314792,CRETACEOUS-PALEOGENE,CHALK,572.1340296254244,217.70722370033954,26.557319407491512,385.623260989967
EVAPORITE/EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,9940.0,JURASSIC,SANDSTONE,360.0,290.0,16.0,100.0
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,7529.0,CRETACEOUS,SANDSTONE,52.0,19.0,20.0,170.0
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4921.0,CRETACEOUS,SANDSTONE,115.0,10.0,13.2,190.0
COMPRESSION/EROSION/EXTENSION/GRAVITY/INVERSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/INVERSION/PASSIVE/RIFT,7702.649330162006,CRETACEOUS,SANDSTONE,132.0040526894012,118.75422155145957,20.666216367844314,1266.6216367844313
COMPRESSION/EROSION/EXTENSION/INVERSION,OFFSHORE,OIL,UNKNOWN,RIFT,9962.443052752613,JURASSIC,SANDSTONE,139.11374856271414,114.30367000870817,16.278473623693227,116.07558915504481
COMPRESSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/INVERSION,3493.0,DEVONIAN,LIMESTONE,980.0,200.0,12.0,200.0
COMPRESSION/EVAPORITE,ONSHORE,OIL,DEVELOPING,FORELAND/SUB-SALT,12746.0,CARBONIFEROUS-PERMIAN,LIMESTONE,3500.0,1500.0,6.0,6.0
BASEMENT-I/STRIKE-SLIP/TRANSPRESSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT/WRENCH,2950.0,PALEOGENE,SANDSTONE,670.0,0.0,21.0,250.0
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,NEARLY DEPLETED,FOREARC/INVERSION,8780.0,PALEOGENE,CONGLOMERATE,500.0,290.0,11.0,125.0
EROSION/EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,5040.0,JURASSIC,SANDSTONE,980.0,525.0,30.0,1000.0
EROSION/EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,10130.0,JURASSIC,SANDSTONE,100.0,60.0,18.0,3000.0
COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,3310.0,CARBONIFEROUS,DOLOMITIC LIMESTONE,120.0,17.8,10.0,2.6
EROSION/EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,6348.0,JURASSIC,SANDSTONE,123.0,82.0,27.0,80.0
BASEMENT-I/EVAPORITE/EXTENSION/GRAVITY/SHALE/STRIKE-SLIP/TRANSTENSION,OFFSHORE,GAS-CONDENSATE,DEVELOPING,DELTA/RIFT/SALT/WRENCH,12369.966901684495,NEOGENE,SANDSTONE,338.69760805570905,139.6045977839399,24.3504992663022,388.6711045893529
EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,ONSHORE,OIL,NEARLY DEPLETED,PASSIVE/SALT,6056.0,CRETACEOUS,SANDSTONE,400.0,35.0,22.0,600.0
COMPRESSION,ONSHORE,OIL,SECOND PLATEAU PRODUTION,INTRACRATONIC,4400.0,CARBONIFEROUS,DOLOMITE,64.0,32.0,20.0,3.5
COMPRESSION,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND/SUB-THRUST,4800.0,CRETACEOUS-PALEOGENE,SANDSTONE,4600.0,550.0,17.0,3.0
EXTENSION,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,3940.0,NEOGENE,SANDSTONE,945.0,236.0,33.8,2529.0
EXTENSION/GRAVITY/SHALE/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/FORELAND,5070.0,NEOGENE,SANDSTONE,5350.0,1466.0,22.0,280.0
EROSION/EXTENSION/GRAVITY/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE/RIFT,8652.821762881622,NEOGENE,SANDSTONE,76.5855197846038,53.1133881719423,24.886611828057703,2311.3388171942297
COMPRESSION/EXTENSION/INVERSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,BACKARC/INVERSION,490.0,NEOGENE,SANDSTONE,4800.0,400.0,25.0,500.0
BASEMENT-I/STRIKE-SLIP,ONSHORE,OIL,REJUVENATING,FORELAND/WRENCH,6950.0,PALEOGENE,SANDSTONE,235.0,126.0,24.0,1450.0
COMPRESSION/EVAPORITE,ONSHORE,GAS,UNKNOWN,FORELAND/SUB-SALT,4232.0,CARBONIFEROUS-PERMIAN,LIMESTONE,1360.0,563.0,11.0,2.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/LINKED,ONSHORE,OIL,UNKNOWN,FORELAND/SALT,6721.0,JURASSIC,LIMESTONE,120.0,75.0,18.0,15.0
COMPRESSION/EVAPORITE,ONSHORE,OIL,REJUVENATING,FORELAND/SALT,3550.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,1350.0,900.0,24.0,1000.0
DIAPIR/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,MATURE PRODUCTION,DELTA/PASSIVE/SALT,9960.187125687398,CRETACEOUS,LIMESTONE,447.677671159301,153.66522213038758,20.434289328968855,213.84533599290648
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC/INVERSION/RIFT,2340.0337698251374,PALEOGENE,SANDSTONE,1424.5058064254147,88.8041350142039,22.245778771857843,138.5684871898872
EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE/SALT,5543.0,PALEOGENE-NEOGENE,SANDSTONE,150.0,150.0,28.5,2000.0
DIAPIR/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,PASSIVE/SALT,18050.0,JURASSIC,SANDSTONE,350.0,200.0,10.4,0.5
COMPRESSION/EXTENSION/INVERSION,ONSHORE,OIL,DEVELOPING,INVERSION/RIFT,5216.0,PROTEROZOIC,SANDSTONE,200.0,25.0,10.0,209.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,GAS,UNDEVELOPED,PASSIVE/RIFT/SUB-SALT,10380.66891874099,TRIASSIC,SANDSTONE,2582.341215593463,800.4817555646289,14.386621625180211,435.80929112325975
COMPRESSION/EVAPORITE,ONSHORE,GAS,DECLINING PRODUCTION,INTRACRATONIC,5656.0,ORDOVICIAN,SANDSTONE,2300.0,174.0,4.0,0.01
EROSION/EXTENSION,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,5692.0,JURASSIC,SANDSTONE,230.0,207.0,28.0,1450.0
COMPRESSION/EROSION/EXTENSION/GRAVITY/INVERSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/INVERSION/PASSIVE/RIFT,7679.341909142301,CRETACEOUS,SANDSTONE,137.45254071998156,124.42972991664745,20.06082880889094,1206.0828808890938
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,5577.0,CRETACEOUS,SANDSTONE,3150.0,429.0,23.6,187.0
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,11290.0,PERMIAN,SANDSTONE,140.0,30.0,13.0,30.0
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,NEARLY DEPLETED,FOREARC/INVERSION/RIFT,8835.821430817488,PALEOGENE,CONGLOMERATE,419.4616172285006,240.84381465325725,10.722281438718968,95.83955106549159
BASEMENT-I/EVAPORITE/EXTENSION/GRAVITY/INVERSION/STRIKE-SLIP/SYNSEDIMENTATION/TRANSPRESSION,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC/INVERSION/PASSIVE,2926.2501389775316,PALEOGENE,SANDSTONE,262.5001878074749,86.25006385454147,19.500004507379398,503.7499962438505
EXTENSION,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,11325.927845977481,CRETACEOUS,SANDSTONE,398.67069129069193,176.5695619529199,14.301907533346945,112.51736399283882
COMPRESSION/EVAPORITE,ONSHORE,GAS,REJUVENATING,FORELAND,10470.0,CRETACEOUS,SANDSTONE,148.0,106.0,21.8,222.0
EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE,2865.0,CRETACEOUS,SANDSTONE,550.0,175.0,25.0,1000.0
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,5084.0,CRETACEOUS,SANDSTONE,328.0,300.0,13.0,600.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,DECLINING PRODUCTION,FORELAND/INVERSION/SUB-SALT,7471.152356295147,JURASSIC,LIMESTONE,249.806649406603,192.0193350593397,16.423047125902944,44.23047125902943
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,DEVELOPING,RIFT,8100.0,CRETACEOUS,SANDSTONE,115.0,40.0,15.0,30.0
COMPRESSION,ONSHORE,METHANE HYDRATE,REJUVENATING,INTRACRATONIC,2756.0,CRETACEOUS,SANDSTONE,2460.0,66.0,25.0,125.0
COMPRESSION/EROSION,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,1900.0,CRETACEOUS,SANDSTONE,90.0,50.0,34.0,2000.0
EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,9450.0,CARBONIFEROUS,DOLOMITE,100.0,18.0,17.0,20.0
EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,ONSHORE,OIL,NEARLY DEPLETED,PASSIVE/SALT,10040.0,JURASSIC,LIMESTONE,75.0,27.0,12.0,200.0
EXTENSION/GRAVITY/SHALE,ONSHORE,GAS,DECLINING PRODUCTION,DELTA/PASSIVE,9875.0,PALEOGENE,SANDSTONE,3000.0,650.0,16.0,0.6
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,9600.0,PERMIAN,LIMESTONE,120.0,35.0,9.0,124.0
COMPRESSION/EVAPORITE,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,4400.0,CARBONIFEROUS,LIMESTONE,390.0,110.0,5.4,200.0
COMPRESSION,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,3280.0,CRETACEOUS,SANDSTONE,2460.0,144.0,27.0,450.0
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE/RIFT,1742.7480732796444,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,193.33387876977756,103.18319496828336,32.06760689089065,7313.292302990315
EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,11175.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,115.0,46.0,12.0,15.0
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,8100.0,DEVONIAN,CHERT,130.0,70.0,15.0,5.0
EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,RIFT,12425.0,PALEOGENE,SANDSTONE,755.0,83.0,13.6,11.0
BASEMENT-I/STRIKE-SLIP/TRANSPRESSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,BACKARC,9460.0,NEOGENE,LIMESTONE,770.0,500.0,16.0,13.5
COMPRESSION/EROSION,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,1900.0,CRETACEOUS,SANDSTONE,58.0,33.0,30.0,2000.0
COMPRESSION,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,10276.0,DEVONIAN,DOLOMITE,178.0,58.0,9.0,360.0
BASEMENT-I/EVAPORITE/SHALE/STRIKE-SLIP/TRANSTENSION,ONSHORE,GAS,DECLINING PRODUCTION,DELTA/WRENCH,9843.0,NEOGENE,THINLY-BEDDED SANDSTONE,115.0,66.0,22.0,200.0
COMPRESSION/EXTENSION/INVERSION,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,4500.0,CARBONIFEROUS,CONGLOMERATE,1100.0,73.0,10.0,3.0
COMPRESSION/EROSION/EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,5620.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,35.0,20.0,24.0,138.0
COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3347.0,CRETACEOUS,SANDSTONE,62.5,18.0,26.0,2500.0
COMPRESSION/EVAPORITE/GRAVITY,OFFSHORE,OIL,REJUVENATING,FORELAND/SALT,6755.0,JURASSIC,LIMESTONE,130.0,120.0,25.0,500.0
COMPRESSION/EXTENSION/INVERSION/SHALE,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,5675.0,NEOGENE,SANDSTONE,500.0,180.0,28.0,1628.0
COMPRESSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,DEVELOPING,PASSIVE/RIFT,3906.344555232106,NEOGENE,SANDSTONE,839.8267351003307,142.60614076909366,28.07857438945799,2083.9067429445995
COMPRESSION/EVAPORITE/EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,5575.0,CARBONIFEROUS,DOLOMITE,80.0,46.0,14.0,15.0
EROSION/EXTENSION,OFFSHORE,OIL,UNKNOWN,RIFT,9959.0,JURASSIC,SANDSTONE,180.0,144.0,18.0,200.0
EXTENSION,OFFSHORE,OIL,DEPLETED,RIFT,7044.0,PERMIAN,DOLOMITE,30.0,30.0,13.0,53.0
COMPRESSION,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,10427.0,PALEOGENE,SANDSTONE,804.0,93.0,14.0,48.0
COMPRESSION/EVAPORITE,OFFSHORE,OIL,DECLINING PRODUCTION,FORELAND,7500.0,JURASSIC,LIMESTONE,270.0,190.0,17.0,50.0
DIAPIR/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,PLATEAU PRODUCTION,DELTA/PASSIVE/SALT,8620.0,NEOGENE,SANDSTONE,400.0,250.0,32.0,800.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,PLATEAU PRODUCTION,FORELAND/INVERSION/RIFT/SALT,7015.834146320702,CRETACEOUS,CHALK,228.23259962028203,207.81915524615573,25.0,11.812135638530963
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,DEVELOPING,INVERSION/PASSIVE/RIFT,3892.6697296172547,NEOGENE,SANDSTONE,820.0,134.04515015118582,26.899124719503504,2000.0
EROSION/EXTENSION,OFFSHORE,GAS-CONDENSATE,MATURE PRODUCTION,RIFT,10545.0,TRIASSIC-JURASSIC,SANDSTONE,869.0,512.0,13.5,330.0
COMPRESSION/EVAPORITE,ONSHORE,GAS-CONDENSATE,DEVELOPING,RIFT/SALT,8596.0,PROTEROZOIC,SANDSTONE,172.0,25.0,9.0,152.0
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14700.0,JURASSIC,SANDSTONE,500.0,150.0,16.0,10.0
BASEMENT-I/COMPRESSION/STRIKE-SLIP/TRANSPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,WRENCH,1000.0,NEOGENE,SANDSTONE,600.0,200.0,35.0,3000.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,UNKNOWN,FORELAND/INVERSION/SALT/SUB-SALT,8305.006837409619,JURASSIC,LIMESTONE,277.49487194278623,254.49397781999,14.999947404541397,38.49928996130886
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,GAS,DEVELOPING,INVERSION/RIFT,5780.0,CRETACEOUS-PALEOGENE,SANDSTONE,380.0,115.0,29.0,1000.0
COMPRESSION/EVAPORITE/GRAVITY,OFFSHORE,OIL,REJUVENATING,FORELAND/SALT,6724.491273632822,JURASSIC,LIMESTONE,113.77195406001181,98.90354027801534,25.0,532.4560918799764
EROSION/EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT/SUB-SALT,5673.691993386378,JURASSIC,SANDSTONE,197.1532822520324,176.30716538304668,28.35898052183571,1467.9490260917855
